,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.01736752192179362,0.0014901435383287386,0.0,0.0,7.301018802316918,l1,"{'C': 7.301018802316918, 'penalty': 'l1'}",,,,,,63,,,,,
1,0.017577966054280598,0.00039356643589909355,0.0,0.0,9.48668086347925,l1,"{'C': 9.48668086347925, 'penalty': 'l1'}",,,,,,79,,,,,
2,0.016684452692667644,0.00010636859642007307,0.0,0.0,1.6862413906134954,elasticnet,"{'C': 1.6862413906134954, 'penalty': 'elasticnet'}",,,,,,78,,,,,
3,8.707878033320108,0.2730802807800267,0.006249189376831055,0.0009170382131053293,5.521315202260046,l2,"{'C': 5.521315202260046, 'penalty': 'l2'}",0.9252651880424301,0.9322565091610415,0.9226133076181292,0.926711668273867,0.0040675187190112065,15,0.9531099324975891,0.9473240115718418,0.9556412729026037,0.9520250723240116,0.0034810822271441272
4,0.016817569732666016,0.004316014568446325,0.0,0.0,1.3654236523995056,elasticnet,"{'C': 1.3654236523995056, 'penalty': 'elasticnet'}",,,,,,77,,,,,
5,0.013736724853515625,5.840038639982171e-07,0.0,0.0,3.0591690888247736,l1,"{'C': 3.0591690888247736, 'penalty': 'l1'}",,,,,,76,,,,,
6,0.01375118891398112,1.1582879623926207e-05,0.0,0.0,0.17555496441340357,l1,"{'C': 0.17555496441340357, 'penalty': 'l1'}",,,,,,75,,,,,
7,0.0137480099995931,1.814628362847974e-05,0.0,0.0,7.037774412039289,elasticnet,"{'C': 7.037774412039289, 'penalty': 'elasticnet'}",,,,,,74,,,,,
8,0.013742287953694662,3.158743761890689e-05,0.0,0.0,0.5293546015160633,l1,"{'C': 0.5293546015160633, 'penalty': 'l1'}",,,,,,73,,,,,
9,8.986101071039835,0.2713682434204651,0.005462487538655599,0.0001110444325812108,7.737032261280227,none,"{'C': 7.737032261280227, 'penalty': 'none'}",0.9255062680810029,0.9322565091610415,0.9223722275795564,0.926711668273867,0.004124277537883782,15,0.9532304725168756,0.9476856316297011,0.9556412729026037,0.9521857923497268,0.0033308231719805063
10,0.01434763272603353,0.0009526183786050426,0.0,0.0,0.9784153842142251,l1,"{'C': 0.9784153842142251, 'penalty': 'l1'}",,,,,,72,,,,,
11,0.01482065518697103,0.0005384949611606419,0.0,0.0,8.573945173518634,elasticnet,"{'C': 8.573945173518634, 'penalty': 'elasticnet'}",,,,,,71,,,,,
12,0.01727898915608724,0.0010092461373407706,0.0,0.0,3.7397514907893825,l1,"{'C': 3.7397514907893825, 'penalty': 'l1'}",,,,,,70,,,,,
13,0.018681844075520832,0.0011340650712814912,0.0,0.0,0.9975935825417337,l1,"{'C': 0.9975935825417337, 'penalty': 'l1'}",,,,,,69,,,,,
14,8.687004089355469,0.2105010274556665,0.005935271581013997,0.0006565843452159583,5.985975940458207,l2,"{'C': 5.985975940458207, 'penalty': 'l2'}",0.9252651880424301,0.9322565091610415,0.9226133076181292,0.926711668273867,0.0040675187190112065,15,0.9531099324975891,0.9473240115718418,0.9556412729026037,0.9520250723240116,0.0034810822271441272
15,0.014000574747721354,0.0003319859978177068,0.0,0.0,5.85836598228992,elasticnet,"{'C': 5.85836598228992, 'penalty': 'elasticnet'}",,,,,,68,,,,,
16,0.013798077901204428,1.4252477513289118e-05,0.0,0.0,6.431660855384789,elasticnet,"{'C': 6.431660855384789, 'penalty': 'elasticnet'}",,,,,,67,,,,,
17,8.739463408788046,0.33889503903433005,0.005455493927001953,5.2690326178288527e-05,3.5197809344103703,l2,"{'C': 3.5197809344103703, 'penalty': 'l2'}",0.9250241080038573,0.9322565091610415,0.9226133076181292,0.9266313082610093,0.004097572736734833,38,0.9532304725168756,0.9472034715525555,0.9556412729026037,0.9520250723240116,0.003548602083866872
18,8.950918594996134,0.36091636252389775,0.005378325780232747,0.0001439172083144375,2.674218952445923,none,"{'C': 2.674218952445923, 'penalty': 'none'}",0.9255062680810029,0.9322565091610415,0.9223722275795564,0.926711668273867,0.004124277537883782,15,0.9532304725168756,0.9476856316297011,0.9556412729026037,0.9521857923497268,0.0033308231719805063
19,0.01411898930867513,0.0007198224072889216,0.0,0.0,8.09944858277859,l1,"{'C': 8.09944858277859, 'penalty': 'l1'}",,,,,,66,,,,,
20,8.664648214975992,0.23354432846817588,0.005335569381713867,0.00011106433794014781,4.697440237300129,l2,"{'C': 4.697440237300129, 'penalty': 'l2'}",0.9255062680810029,0.9322565091610415,0.9226133076181292,0.9267920282867245,0.004040438794592295,2,0.9529893924783028,0.9472034715525555,0.9556412729026037,0.9519447123111541,0.003523032821726619
21,8.767240524291992,0.21931625679738187,0.0054683685302734375,3.6444523938469e-05,8.568471054312711,l2,"{'C': 8.568471054312711, 'penalty': 'l2'}",0.9255062680810029,0.9322565091610415,0.9226133076181292,0.9267920282867245,0.004040438794592295,2,0.9531099324975891,0.9473240115718418,0.9555207328833173,0.9519848923175828,0.0034395587526571784
