,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,32.321894566218056,0.47110278142918227,0.5135827859242758,0.036171321328376096,80,5,72,"{'max_depth': 80, 'max_features': 5, 'n_estimators': 72}",0.877335744424352,0.8799204292000723,0.8791970582916391,0.8788177439720212,0.0010887480156156284,86,0.9999698595454819,0.9999698604539016,0.9999095813617047,0.9999497671203628,2.8415622456627943e-05
1,117.40881156921387,3.2252834802660413,0.24899625778198242,0.0029838642939913236,100,29,37,"{'max_depth': 100, 'max_features': 29, 'n_estimators': 37}",0.912537673297167,0.9122912773524625,0.912592681897643,0.9124738775157574,0.00013105622523200717,64,0.9995478931822291,0.9999095813617047,0.9994273486241297,0.9996282743893546,0.00020491129323272917
2,341.08468691507977,0.9623605847743749,0.2983272075653076,0.00069804150167257,60,67,48,"{'max_depth': 60, 'max_features': 67, 'n_estimators': 48}",0.9257986738999398,0.9261558864307674,0.9260353246126951,0.9259966283144675,0.00014837621253078106,25,0.9986436795466875,0.9993670695319329,0.99903553452485,0.9990154278678235,0.0002956647605322671
3,272.97141639391583,1.098183583786845,0.22368939717610678,0.002268765562269074,40,84,40,"{'max_depth': 40, 'max_features': 84, 'n_estimators': 40}",0.9271850512356842,0.9265175718849841,0.9271806618843812,0.926961095001683,0.0003136233227786298,14,0.9951172463680752,0.9955393471774315,0.9953283703547424,0.9953283213000831,0.00017232193731422037
4,599.3980360031128,1.5902541611534993,0.47014808654785156,0.0024648822058486388,60,72,79,"{'max_depth': 60, 'max_features': 72, 'n_estimators': 79}",0.9268233875828813,0.9263367291578757,0.9265175718849841,0.9265592295419136,0.00020084924021578215,20,0.9990053650009042,0.9989451158865548,0.9992766508936376,0.9990757105936989,0.00014419949618399352
5,855.2228389581045,20.12515204989456,0.5320754051208496,0.00560020609241248,100,85,84,"{'max_depth': 100, 'max_features': 85, 'n_estimators': 84}",0.9279083785412899,0.9269998191572729,0.9268189764301645,0.9272423913762425,0.00047667613113655934,12,0.9999698595454819,0.9999698604539016,0.9998794418156063,0.9999397206049966,4.2623540741210294e-05
6,118.02463992436726,0.2655527408902686,0.2056718667348226,0.0010832280335242776,45,41,34,"{'max_depth': 45, 'max_features': 41, 'n_estimators': 34}",0.919047619047619,0.9197661100729398,0.920368919163301,0.9197275494279533,0.0005401072062912723,49,0.9965338477304237,0.997438138581633,0.9974682781277314,0.9971467548132628,0.000433565386999
7,292.5999565124512,2.3126134090398267,0.34799377123514813,0.0031620501704515904,30,60,76,"{'max_depth': 30, 'max_features': 60, 'n_estimators': 76}",0.9244122965641953,0.924287178250648,0.9245885827958286,0.9244293525368906,0.00012363752024180494,30,0.9926155886430768,0.9931884625817535,0.9941529280569035,0.9933189930939111,0.0006343667599947683
8,124.93461712201436,0.8406049208039403,0.11952622731526692,0.000597423689530052,90,70,15,"{'max_depth': 90, 'max_features': 70, 'n_estimators': 15}",0.9216395418927065,0.9216348182530593,0.9195249864367955,0.9209331155275203,0.0009956994962679034,45,0.9974079209114474,0.9973477199433377,0.9972573013050423,0.9973376473866091,6.190131262846976e-05
9,113.89074381192525,2.2793825464255253,0.11969685554504395,0.0017693161573132299,60,69,16,"{'max_depth': 60, 'max_features': 69, 'n_estimators': 16}",0.9233875828812538,0.9216348182530593,0.9200072337090843,0.9216765449477992,0.0013803371494522892,41,0.9974079209114474,0.9976189758582236,0.9974079990355346,0.9974782986017351,9.947384713471437e-05
10,148.85588788986206,1.1926238214405536,0.15706268946329752,0.0067957656477887545,45,71,24,"{'max_depth': 45, 'max_features': 71, 'n_estimators': 24}",0.925075346594334,0.9233829646151064,0.9222376273434203,0.9235653128509536,0.0011656474012579098,34,0.9963831454578335,0.996955905844058,0.9968956267518612,0.9967448926845842,0.00025697494597128165
11,44.43980224927267,1.5410139659908322,0.22482975323994955,0.0019942754823244627,80,13,33,"{'max_depth': 80, 'max_features': 13, 'n_estimators': 33}",0.8951778179626281,0.8955934655494605,0.8970402073663271,0.8959371636261385,0.0007982146113615895,79,0.999487612273193,0.9996081859007203,0.9993670695319329,0.9994876225686155,9.843534562952431e-05
12,174.81510710716248,0.29677637541363644,0.19426337877909342,0.0019079749383757749,15,89,54,"{'max_depth': 15, 'max_features': 89, 'n_estimators': 54}",0.926702833031947,0.9268792573392006,0.9263970100669118,0.9266597001460198,0.0001992250691953128,18,0.9789921032009162,0.9808312486813948,0.9809216673196902,0.9802483397340004,0.0008890600102840227
13,901.3530408541361,22.768993440452494,0.6082984606424967,0.006800147917485563,90,78,98,"{'max_depth': 90, 'max_features': 78, 'n_estimators': 98}",0.9275467148884871,0.9254325155223341,0.9266381337030563,0.9265391213712925,0.0008659531632220429,21,0.9999698595454819,0.9999698604539016,0.9999095813617047,0.9999497671203628,2.8415622456627943e-05
14,342.4393675327301,1.3227364122091065,0.3360138734181722,0.002983273279167574,30,73,73,"{'max_depth': 30, 'max_features': 73, 'n_estimators': 73}",0.9275467148884871,0.9272409427934173,0.9259147627946229,0.926900806825509,0.0007083249097532927,16,0.9924648863704865,0.9933692998583441,0.993218602127852,0.9930175961188942,0.00039563746113713386
