,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,2.3165642420450845,0.28694561245938777,0.12897499402364096,0.020778777405453135,1,8,21,"{'max_depth': 1, 'max_features': 8, 'n_estimators': 21}",0.7624199992928113,0.7305111183661624,0.7290817981902736,0.7406709719497492,0.01538995087317806,45,0.76301172963285,0.7383729301655868,0.7436007436007436,0.7483284677997268,0.010599721438894554
1,1.2852614720662434,0.08390275065554695,0.17297983169555664,0.005121351097252759,1,1,32,"{'max_depth': 1, 'max_features': 1, 'n_estimators': 32}",0.6231596533361178,0.6799661303979677,0.6845461868958109,0.6625573235432988,0.027921037978511337,49,0.6952617627567926,0.6611229468765033,0.6657972854716108,0.6740606650349689,0.015112407017263827
2,50.43632539113363,0.9884508184152928,0.671107292175293,0.014250447045579517,40,10,30,"{'max_depth': 40, 'max_features': 10, 'n_estimators': 30}",0.9614923478383525,0.9731615488238747,0.9709033105259519,0.9685190690627263,0.005053448883442631,7,1.0,1.0,0.9999827767348135,0.9999942589116045,8.119125071696313e-06
3,10.56104318300883,1.335384736333097,0.2742748260498047,0.05508082224873966,40,6,12,"{'max_depth': 40, 'max_features': 6, 'n_estimators': 12}",0.9134594633479606,0.9407166574432761,0.9385821285490332,0.9309194164467568,0.012376766542173779,30,0.9993107726238887,0.9993278990814621,0.9990176309394551,0.9992187675482685,0.00014239681747618625
4,3.9189876715342202,0.23701436634031822,0.1032419999440511,0.012891615884980502,,22,1,"{'max_depth': None, 'max_features': 22, 'n_estimators': 1}",0.824176199419498,0.834002988543915,0.8275540144038411,0.8285777341224181,0.004076554727593068,41,0.9398737416823069,0.9338046931038017,0.9332354598064152,0.9356379648641745,0.0030041483070895533
5,106.8926244576772,2.202357104432405,0.8097906112670898,0.12331453540490445,40,17,38,"{'max_depth': 40, 'max_features': 17, 'n_estimators': 38}",0.9704635436740128,0.9761494450954712,0.9754649918906796,0.9740259935533878,0.002534482972216359,3,0.9999827767348135,1.0,0.9999827767348135,0.999988517823209,8.119125071696313e-06
6,41.13397494951884,0.5878017972520841,0.6429487864176432,0.051113067460932346,40,9,28,"{'max_depth': 40, 'max_features': 9, 'n_estimators': 28}",0.9587185096323477,0.9702124728812976,0.9691940670054974,0.9660416831730476,0.005194929621747917,9,0.9999827767348135,0.9999655516896896,0.9999827767348135,0.9999770350531055,8.119964142242675e-06
7,18.946277777353924,1.294222204196341,0.32146819432576496,0.02132149142238024,10,11,22,"{'max_depth': 10, 'max_features': 11, 'n_estimators': 22}",0.9121333003847919,0.9083720607616008,0.9037812763564803,0.908095545834291,0.003415301033207507,33,0.9446269025673624,0.9360631804830001,0.9365855380433823,0.9390918736979149,0.003919661787657595
8,40.329591512680054,1.0449327085844429,0.31432366371154785,0.004135318302445113,15,19,19,"{'max_depth': 15, 'max_features': 19, 'n_estimators': 19}",0.9514684876145351,0.9538588868197806,0.9513891291561429,0.9522388345301529,0.0011460080008666702,21,0.9895222565312425,0.9871846145820655,0.987407819674412,0.9880382302625733,0.0010533140091752876
9,2.7213423252105713,0.1654569510513801,0.09763216972351074,0.0018740205155351839,1,26,9,"{'max_depth': 1, 'max_features': 26, 'n_estimators': 9}",0.7445814167433303,0.7359923326452374,0.7356412273800157,0.7387383255895278,0.004134175000371939,46,0.7433285350459529,0.7388779291653608,0.7444334137001845,0.742213292637166,0.0024012047430312673
10,5.744455814361572,0.18079821979868052,0.7573530673980713,0.13791846421116635,40,1,24,"{'max_depth': 40, 'max_features': 1, 'n_estimators': 24}",0.9056562961894805,0.9368832877471177,0.9329868329868329,0.9251754723078104,0.01389350608926153,31,0.9999827767348135,0.9999483266445046,0.9999655528763349,0.9999655520852176,1.4064190486055492e-05
11,17.154554684956867,0.15050918014462122,0.1464829444885254,0.013983070828225662,40,26,4,"{'max_depth': 40, 'max_features': 26, 'n_estimators': 4}",0.8868077575400044,0.9160473633680617,0.9110264535194217,0.9046271914758292,0.012765880391939615,34,0.9864368416470792,0.9857132901247473,0.9848345028119722,0.9856615448612662,0.000655174589883042
12,3.8331944147745767,0.06302648233842588,0.16916577021280924,0.032091153097441615,,5,4,"{'max_depth': None, 'max_features': 5, 'n_estimators': 4}",0.815357047542796,0.8507304214110497,0.853424255755976,0.8398372415699406,0.017345011013246415,40,0.9775008775008774,0.9756054725232266,0.9768706051519456,0.9766589850586831,0.0007881316747981365
13,19.497848510742188,0.39906709029899134,0.642709493637085,0.04081154552996273,30,4,28,"{'max_depth': 30, 'max_features': 4, 'n_estimators': 28}",0.9472346733490983,0.9595737366792711,0.9580155294441007,0.95494131315749,0.005486421134592263,20,0.9999827767348135,0.9999655516896896,0.9999311033793792,0.9999598106012941,2.1482612929749505e-05
14,37.65902813275655,1.7841348173098681,0.5502123037974039,0.05628592861785437,,9,24,"{'max_depth': None, 'max_features': 9, 'n_estimators': 24}",0.9559077911533166,0.9667769506479184,0.9657986651450704,0.9628278023154352,0.004909458659509849,13,0.9999827767348135,0.9999483266445046,0.9999827767348135,0.9999712933713772,1.6239928313270375e-05
15,2.5951358477274575,0.07807021114385916,0.13695716857910156,0.0011135956993639899,1,9,22,"{'max_depth': 1, 'max_features': 9, 'n_estimators': 22}",0.769541349389056,0.7465857359635811,0.750412038695808,0.7555130413494817,0.010041753432196692,43,0.7725231646471846,0.7562958982625829,0.7604214873091025,0.76308018340629,0.00688634118053538
16,90.05642445882161,0.8644645814395345,0.7555967966715494,0.0575729401785736,40,15,36,"{'max_depth': 40, 'max_features': 15, 'n_estimators': 36}",0.9692679679013211,0.9753575736687919,0.9773527584064076,0.9739927666588403,0.003438796592665735,4,1.0,1.0,1.0,1.0,0.0
17,130.09469199180603,1.288802697385304,0.6813058058420817,0.036514532356367875,40,22,35,"{'max_depth': 40, 'max_features': 22, 'n_estimators': 35}",0.9728826539492463,0.975792329086976,0.9759620344578562,0.9748790058313594,0.0014133330832088722,1,1.0,0.9999655516896896,1.0,0.9999885172298965,1.6239089213938986e-05
18,20.59830355644226,0.32350538399596046,0.3742399215698242,0.02542960028206475,,8,15,"{'max_depth': None, 'max_features': 8, 'n_estimators': 15}",0.9390239636172818,0.9508285976792459,0.9484732824427481,0.9461086145797587,0.005101051323724823,24,0.99989666574814,0.9997588701343438,0.9997933243773897,0.9998162867532913,5.855117889871222e-05
19,2.122934023539225,0.05203220406281619,0.10528079668680827,0.0006381624810706309,1,15,11,"{'max_depth': 1, 'max_features': 15, 'n_estimators': 11}",0.7414898162654892,0.73107492316931,0.7225112235445023,0.7316919876597671,0.007760254371102001,47,0.7415875522693419,0.7375909002870071,0.7364603141066272,0.7385462555543253,0.002199495481452393
20,22.657560348510742,0.5744631358513576,0.5492802460988363,0.007369183325123985,30,5,26,"{'max_depth': 30, 'max_features': 5, 'n_estimators': 26}",0.9543805262972487,0.9608577614351008,0.9642746621737786,0.9598376499687093,0.004103165585959733,17,0.9999655540628983,0.9998621925170538,0.9999483284245337,0.9999253583348287,4.521519697063802e-05
21,99.09374904632568,1.2210239444773296,0.7844171524047852,0.09027918298765485,,16,37,"{'max_depth': None, 'max_features': 16, 'n_estimators': 37}",0.9715641464010328,0.9752878501460733,0.9738933030646993,0.9735817665372686,0.0015360737072484304,6,1.0,1.0,1.0,1.0,0.0
22,18.897714535395306,0.18133357168783218,0.28425804773966473,0.0004061375566770297,40,9,12,"{'max_depth': 40, 'max_features': 9, 'n_estimators': 12}",0.9284138618088663,0.9510064565134827,0.9458268263057436,0.9417490482093642,0.009663592828213483,25,0.9994659684060019,0.9992761865370696,0.9993796953614998,0.9993739501015239,7.758455796956729e-05
23,0.7617429892222086,0.11683762243375262,0.10427506764729817,0.016639311558537387,1,4,7,"{'max_depth': 1, 'max_features': 4, 'n_estimators': 7}",0.5546589018302829,0.6594328798557614,0.6521295414342088,0.6220737743734176,0.04776266650868831,50,0.5492693110647181,0.6565095575191896,0.6538865013028324,0.6198884566289133,0.04994675762677222
24,0.9839042822519938,0.03636613722972794,0.1184701919555664,0.004190631289181254,1,4,12,"{'max_depth': 1, 'max_features': 4, 'n_estimators': 12}",0.6995558845299777,0.7050797726022373,0.7048445195912668,0.7031600589078274,0.0025503451667376366,48,0.7030615461642591,0.7090945814436018,0.707774013368739,0.7066433803255333,0.002589482184947404
25,54.351285219192505,1.6536583040311876,0.3778822422027588,0.01395258669389994,,19,17,"{'max_depth': None, 'max_features': 19, 'n_estimators': 17}",0.9603757175160897,0.9669404517453799,0.9659075318973797,0.964407900386283,0.0028821987991935103,12,0.999948331984224,0.9998622020118506,0.9998105440829472,0.9998736926930073,5.683545401504058e-05
26,68.22196427981059,2.227716243523221,0.3488928476969401,0.021110461013212935,,25,16,"{'max_depth': None, 'max_features': 25, 'n_estimators': 16}",0.9609114811568799,0.9686237962100032,0.9668397369331949,0.965458338100026,0.003296578824768538,10,0.9998449799335136,0.9996554338088347,0.9997243850341073,0.9997415995921518,7.833342880150733e-05
27,4.001596053441365,0.17775892846656008,0.11890864372253418,0.014959074264176739,,10,2,"{'max_depth': None, 'max_features': 10, 'n_estimators': 2}",0.7604141389630349,0.8093619650857407,0.8066491010539367,0.7921417350342373,0.02246211881007375,42,0.9305207743067614,0.9292977322604242,0.9295347392273674,0.929784415264851,0.0005295983097576783
28,18.109838644663494,0.5870630548870752,0.19617064793904623,0.012948684783042619,40,16,7,"{'max_depth': 40, 'max_features': 16, 'n_estimators': 7}",0.9244238355595542,0.9394627189267929,0.9317147192716236,0.9318670912526569,0.006140543740788493,29,0.9975722722498666,0.9979336708337638,0.9969867589579351,0.9974975673471885,0.00039016760672774006
29,12.82426651318868,0.05441714960294096,0.11882567405700684,0.0010722323843109067,30,27,3,"{'max_depth': 30, 'max_features': 27, 'n_estimators': 3}",0.8940619857377947,0.9064608155730827,0.9049905328644847,0.901837778058454,0.005530981978595292,35,0.9846132710537161,0.9843301167930922,0.9816035381782512,0.9835156420083532,0.0013569941971493158
30,18.610332250595093,0.09725386912546828,0.39408477147420246,0.0021871291011381,30,6,18,"{'max_depth': 30, 'max_features': 6, 'n_estimators': 18}",0.936849557522124,0.9509049231927196,0.9511175099410394,0.9462906635519609,0.006676434207037913,23,0.9998622067587585,0.9996209641294235,0.9998105245026269,0.9997645651302696,0.00010371017141605525
31,46.871318896611534,0.7839397929949177,0.2543809413909912,0.006057050502876539,30,27,11,"{'max_depth': 30, 'max_features': 27, 'n_estimators': 11}",0.9524733268671194,0.9600600293325147,0.9593941678374397,0.9573091746790245,0.0034302488663445463,18,0.9993454370069247,0.9992593995969756,0.9990354473113093,0.9992134279717365,0.00013066100053769336
32,27.602113246917725,0.3614288341147794,0.1816729704538981,0.003381449448462015,30,25,7,"{'max_depth': 30, 'max_features': 25, 'n_estimators': 7}",0.9367786391042205,0.9418374991486753,0.9431984480822244,0.9406048621117068,0.002762008010752895,27,0.9976417124266262,0.9970368328566999,0.997054821653089,0.9972444556454717,0.0002809989464141975
33,2.334282716115316,0.15263611653795986,0.25290505091349286,0.005116598010804735,30,1,9,"{'max_depth': 30, 'max_features': 1, 'n_estimators': 9}",0.8486458513023978,0.8582159624413146,0.8676131618506765,0.8581583251981296,0.0077434793599760535,39,0.9941689457660354,0.9955567802156168,0.9941490277060746,0.9946249178959089,0.000658976337180938
34,94.08189050356548,1.2514688650531607,0.39201656977335614,0.015221837005688332,40,20,30,"{'max_depth': 40, 'max_features': 20, 'n_estimators': 30}",0.9689480133029933,0.9764811366301126,0.9760458373602098,0.9738249957644385,0.0034531232056915283,5,1.0,0.9999827761415112,0.9999827767348135,0.9999885176254416,8.119264918001505e-06
