,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_momentum,param_learning_rate_init,param_hidden_layer_sizes,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,21.589459975560505,3.2225973317787155,0.09423240025838216,0.002556982371989992,0.1,0.9,"(100,)",0.9,"{'momentum': 0.1, 'learning_rate_init': 0.9, 'hidden_layer_sizes': (100,), 'alpha': 0.9}",0.874924653405666,0.8749773946591115,0.8749773946591115,0.8749598142412963,2.4862465306372643e-05,28,0.8749773946591115,0.87495102323759,0.87495102323759,0.8749598137114304,1.2431607324925437e-05
1,57.32229733467102,14.819623307276565,0.10720427831013997,0.0002871555130777769,0.7,0.9,"(100, 100)",0.4,"{'momentum': 0.7, 'learning_rate_init': 0.9, 'hidden_layer_sizes': (100, 100), 'alpha': 0.4}",0.874924653405666,0.8749773946591115,0.8749773946591115,0.8749598142412963,2.4862465306372643e-05,28,0.8749773946591115,0.87495102323759,0.87495102323759,0.8749598137114304,1.2431607324925437e-05
2,46.58593241373698,17.27576852018766,0.10672314961751302,0.000642751029532591,0.1,0.5,"(100, 100)",0.8,"{'momentum': 0.1, 'learning_rate_init': 0.5, 'hidden_layer_sizes': (100, 100), 'alpha': 0.8}",0.874924653405666,0.8749773946591115,0.8749773946591115,0.8749598142412963,2.4862465306372643e-05,28,0.8749773946591115,0.87495102323759,0.87495102323759,0.8749598137114304,1.2431607324925437e-05
3,54.30027222633362,13.142020827122998,0.10638070106506348,0.001415975802906584,0.6,0.8,"(100, 100)",0.4,"{'momentum': 0.6, 'learning_rate_init': 0.8, 'hidden_layer_sizes': (100, 100), 'alpha': 0.4}",0.874924653405666,0.8749773946591115,0.8749773946591115,0.8749598142412963,2.4862465306372643e-05,28,0.8749773946591115,0.87495102323759,0.87495102323759,0.8749598137114304,1.2431607324925437e-05
4,11.830655415852865,0.586243358108603,0.11129411061604817,0.0011120638649364572,0.9,0.1,"(100, 100)",0.001,"{'momentum': 0.9, 'learning_rate_init': 0.1, 'hidden_layer_sizes': (100, 100), 'alpha': 0.001}",0.874924653405666,0.8749773946591115,0.8749773946591115,0.8749598142412963,2.4862465306372643e-05,28,0.8749773946591115,0.87495102323759,0.87495102323759,0.8749598137114304,1.2431607324925437e-05
5,54.637165546417236,3.652524361549593,0.10989061991373698,0.0030999772533995148,0.7,0.8,"(100, 100)",0.9,"{'momentum': 0.7, 'learning_rate_init': 0.8, 'hidden_layer_sizes': (100, 100), 'alpha': 0.9}",0.874924653405666,0.8749773946591115,0.8749773946591115,0.8749598142412963,2.4862465306372643e-05,28,0.8749773946591115,0.87495102323759,0.87495102323759,0.8749598137114304,1.2431607324925437e-05
6,51.40536602338155,14.654423986762247,0.09675017992655437,0.003801087301984943,0.8,0.001,"(100,)",0.3,"{'momentum': 0.8, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (100,), 'alpha': 0.3}",0.9474382157926462,0.9476158900476219,0.943757911869311,0.9462706725698596,0.0017782700936372169,5,0.9989450840918681,0.9988848367943579,0.999517767262425,0.9991158960495503,0.00028522831558518716
7,19.172664483388264,6.038515399132089,0.08799656232198079,0.0035027154328088465,0.9,0.9,"(100,)",0.1,"{'momentum': 0.9, 'learning_rate_init': 0.9, 'hidden_layer_sizes': (100,), 'alpha': 0.1}",0.874924653405666,0.8749773946591115,0.8749773946591115,0.8749598142412963,2.4862465306372643e-05,28,0.8749773946591115,0.87495102323759,0.87495102323759,0.8749598137114304,1.2431607324925437e-05
8,17.722992817560833,8.46289732948326,0.08948055903116862,0.003829363318267377,0.9,0.4,"(100,)",0.2,"{'momentum': 0.9, 'learning_rate_init': 0.4, 'hidden_layer_sizes': (100,), 'alpha': 0.2}",0.874924653405666,0.8749773946591115,0.8749773946591115,0.8749598142412963,2.4862465306372643e-05,28,0.8749773946591115,0.87495102323759,0.87495102323759,0.8749598137114304,1.2431607324925437e-05
9,11.894580205281576,0.37490916588330697,0.09120337168375652,0.0028029536533243685,0.4,0.6,"(100,)",0.2,"{'momentum': 0.4, 'learning_rate_init': 0.6, 'hidden_layer_sizes': (100,), 'alpha': 0.2}",0.874924653405666,0.8749773946591115,0.8749773946591115,0.8749598142412963,2.4862465306372643e-05,28,0.8749773946591115,0.87495102323759,0.87495102323759,0.8749598137114304,1.2431607324925437e-05
10,34.72201379140218,8.844778347937014,0.11171674728393555,0.00810302067953328,0.5,0.4,"(100, 100)",0.7,"{'momentum': 0.5, 'learning_rate_init': 0.4, 'hidden_layer_sizes': (100, 100), 'alpha': 0.7}",0.874924653405666,0.8749773946591115,0.8749773946591115,0.8749598142412963,2.4862465306372643e-05,28,0.8749773946591115,0.87495102323759,0.87495102323759,0.8749598137114304,1.2431607324925437e-05
11,59.19103209177653,7.513818045102804,0.09423486391703288,0.0023645596580629566,0.8,0.001,"(100,)",0.1,"{'momentum': 0.8, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (100,), 'alpha': 0.1}",0.9482218203737192,0.9469528000482247,0.9447224064138887,0.9466323422786109,0.0014464887145874896,4,0.9999698595454819,0.9999698604539016,0.9999397209078031,0.999959813635729,1.4207704173659036e-05
