,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_momentum,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,275.0927646160126,83.42245367159812,2.3487799167633057,1.6152771154114294,0.001,76,0.9,0.2,"{'alpha': 0.001, 'hidden_layer_sizes': 76, 'learning_rate_init': 0.9, 'momentum': 0.2}",0.18665809355409096,0.18666409465020578,0.19227560106110503,0.18853259642180062,0.0026467050963641,6,0.18666409465020578,0.18666109405391504,0.20238552245221345,0.19190357038544473,0.0074118594877139
1,49.94706336657206,7.236826557662071,0.20400063196818033,0.00418486398739235,0.3,92,0.6,0.6,"{'alpha': 0.3, 'hidden_layer_sizes': 92, 'learning_rate_init': 0.6, 'momentum': 0.6}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
2,509.3390697638194,245.6973457126368,3.158989985783895,2.1630384836036463,0.001,79,0.7,0.9,"{'alpha': 0.001, 'hidden_layer_sizes': 79, 'learning_rate_init': 0.7, 'momentum': 0.9}",0.18665809355409096,0.18666409465020578,0.18664351628564999,0.18665523482998225,8.640852565773171e-06,20,0.18666409465020578,0.18666109405391504,0.193302224854852,0.1888758045196576,0.003129952075113538
3,76.24034571647644,20.491710312095094,0.2523638407389323,0.07755269367718999,0.3,82,0.1,0.6,"{'alpha': 0.3, 'hidden_layer_sizes': 82, 'learning_rate_init': 0.1, 'momentum': 0.6}",0.3290699906130449,0.33513503434454156,0.3356486912483632,0.3332845720686499,0.0029875277949231896,4,0.3307924027999122,0.3383371145346593,0.33904798506266165,0.3360591674657443,0.003735455506435551
4,159.66143234570822,9.802649091854184,0.13885807991027832,0.038324769942967275,0.7,84,0.001,0.4,"{'alpha': 0.7, 'hidden_layer_sizes': 84, 'learning_rate_init': 0.001, 'momentum': 0.4}",0.5381373752106386,0.5741209820904599,0.5262503900883935,0.546169582463164,0.020351669213567684,1,0.9327128391120552,0.9301762270094309,0.9334373066700852,0.9321087909305238,0.0013981692297409887
5,28.85369873046875,1.9721239426631254,0.22160021464029947,0.014811713265111423,0.1,92,0.4,0.1,"{'alpha': 0.1, 'hidden_layer_sizes': 92, 'learning_rate_init': 0.4, 'momentum': 0.1}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
6,41.484259049097695,11.255330918777695,0.19636996587117514,0.02831694211490738,0.4,69,0.3,0.5,"{'alpha': 0.4, 'hidden_layer_sizes': 69, 'learning_rate_init': 0.3, 'momentum': 0.5}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
7,49.7595751285553,20.034476176007953,0.2003155549367269,0.01549628076512161,0.4,83,0.3,0.8,"{'alpha': 0.4, 'hidden_layer_sizes': 83, 'learning_rate_init': 0.3, 'momentum': 0.8}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
8,30.699024836222332,3.9860658398053186,0.2039499282836914,0.007732170647515431,0.8,82,0.4,0.4,"{'alpha': 0.8, 'hidden_layer_sizes': 82, 'learning_rate_init': 0.4, 'momentum': 0.4}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
9,44.297655502955116,3.785781309953012,0.2033818562825521,0.02396919130186108,0.7,76,0.4,0.6,"{'alpha': 0.7, 'hidden_layer_sizes': 76, 'learning_rate_init': 0.4, 'momentum': 0.6}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
10,75.7047967116038,39.75068477087014,0.1991433302561442,0.006238142867013836,0.2,86,0.1,0.001,"{'alpha': 0.2, 'hidden_layer_sizes': 86, 'learning_rate_init': 0.1, 'momentum': 0.001}",0.33477711959978196,0.33660162372457786,0.3487889291173812,0.3400558908139137,0.006219950285584949,2,0.33564740313227404,0.339737108577182,0.351974644655262,0.3424530521215727,0.006936712282714044
11,37.562603076299034,15.015797404106891,0.16121991475423178,0.013478125287575745,0.4,64,0.5,0.7,"{'alpha': 0.4, 'hidden_layer_sizes': 64, 'learning_rate_init': 0.5, 'momentum': 0.7}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
12,42.87695908546448,14.602841468007638,0.21098812421162924,0.011181001587233319,0.7,96,0.1,0.5,"{'alpha': 0.7, 'hidden_layer_sizes': 96, 'learning_rate_init': 0.1, 'momentum': 0.5}",0.33504693866543583,0.33471763067743515,0.33145249766054147,0.3337390223344708,0.0016223968382419174,3,0.3376504617235326,0.3334155617625636,0.3334481103657996,0.33483804461729855,0.001988723600280903
13,39.876001834869385,5.1385775548929224,0.1581594149271647,0.004255399105912538,0.5,76,0.6,0.2,"{'alpha': 0.5, 'hidden_layer_sizes': 76, 'learning_rate_init': 0.6, 'momentum': 0.2}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
14,72.76758257548015,11.033051092558368,0.20885554949442545,0.07531520939584588,0.3,87,0.2,0.001,"{'alpha': 0.3, 'hidden_layer_sizes': 87, 'learning_rate_init': 0.2, 'momentum': 0.001}",0.3100822442145425,0.18666409465020578,0.18666409465020578,0.227803477838318,0.058179873652292026,5,0.31171762406277703,0.18666109405391504,0.18666109405391504,0.22834660405686905,0.05895221360061686
15,42.28861196835836,5.7911483163968756,0.23563607533772787,0.03486328174706045,0.6,97,0.7,0.4,"{'alpha': 0.6, 'hidden_layer_sizes': 97, 'learning_rate_init': 0.7, 'momentum': 0.4}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
16,45.45650180180868,15.779413332031973,0.16901501019795737,0.0031503803244447557,0.6,71,0.6,0.9,"{'alpha': 0.6, 'hidden_layer_sizes': 71, 'learning_rate_init': 0.6, 'momentum': 0.9}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
17,36.134658416112266,10.214783793544862,0.15524784723917642,0.04090416365230307,0.3,76,0.8,0.6,"{'alpha': 0.3, 'hidden_layer_sizes': 76, 'learning_rate_init': 0.8, 'momentum': 0.6}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
18,37.970028003056846,2.1280865628638153,0.1340311368306478,0.034928717218409996,0.4,87,0.6,0.6,"{'alpha': 0.4, 'hidden_layer_sizes': 87, 'learning_rate_init': 0.6, 'momentum': 0.6}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
19,34.89206600189209,11.299199670269871,0.12498354911804199,0.03674368338255279,0.4,79,0.2,0.8,"{'alpha': 0.4, 'hidden_layer_sizes': 79, 'learning_rate_init': 0.2, 'momentum': 0.8}",0.18665809355409096,0.18666409465020578,0.18666409465020578,0.18666209428483418,2.8289438382257725e-06,7,0.18666409465020578,0.18666109405391504,0.18666109405391504,0.18666209425267863,1.4144946565245834e-06
