,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_momentum,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,36.5450332959493,1.8886437421351578,0.427674134572347,0.02998238495989867,92,0.4,0.1,"{'hidden_layer_sizes': 92, 'learning_rate_init': 0.4, 'momentum': 0.1}",0.9299025179980022,0.945472081567979,0.9401653461935928,0.9385133152531914,0.006462699751183477,38,0.9434387971271594,0.9393913298083051,0.9384795563363302,0.9404365610905984,0.0021552878586504703
1,35.74811919530233,2.677170388367454,0.47258885701497394,0.12382877645211894,83,0.7,0.001,"{'hidden_layer_sizes': 83, 'learning_rate_init': 0.7, 'momentum': 0.001}",0.9084082532465295,0.9131617925665668,0.9219083706510507,0.9144928054880491,0.005591182882111696,63,0.9240970703225918,0.9055992835121682,0.9184492439116806,0.9160485325821468,0.0077401373970054635
2,24.996925671895344,2.3270628435228087,0.36851175626118976,0.07976426305844421,55,0.4,0.5,"{'hidden_layer_sizes': 55, 'learning_rate_init': 0.4, 'momentum': 0.5}",0.8917364196892976,0.9304880989287314,0.9423355149844987,0.9215200112008426,0.02160844062389423,48,0.9150548560996193,0.928058421315513,0.9384795563363302,0.9271976112504875,0.009582445434959947
3,21.721163193384807,0.629512397551779,0.21945428848266602,0.018519289802373433,43,0.1,0.9,"{'hidden_layer_sizes': 43, 'learning_rate_init': 0.1, 'momentum': 0.9}",0.9528779580448486,0.963246185112466,0.9625559765759559,0.9595600399110902,0.004733339941755944,15,0.9702037512271576,0.9700142953101049,0.9704798319038269,0.9702326261470299,0.00019114811145950477
4,19.29119070370992,2.67373043779314,0.18785174687703451,0.02640200125321379,32,0.1,0.001,"{'hidden_layer_sizes': 32, 'learning_rate_init': 0.1, 'momentum': 0.001}",0.9510867693155592,0.9656229547724846,0.9630382363072684,0.9599159867984374,0.0063317455942827495,14,0.9728733573310828,0.9692048018463341,0.9672935827219179,0.9697905806331116,0.0023152859812629783
5,17.04625590642293,0.8853320815117703,0.19613424936930338,0.02884829952442781,31,0.2,0.3,"{'hidden_layer_sizes': 31, 'learning_rate_init': 0.2, 'momentum': 0.3}",0.9405807584995349,0.9507078640074403,0.9441267654150879,0.9451384626406877,0.004195808618870092,28,0.9564079158126798,0.9509136942181499,0.9453859667252248,0.9509025255853515,0.004499698802911262
6,23.716687043507893,2.656140213115921,0.2534743944803874,0.02329301565368239,52,0.1,0.9,"{'hidden_layer_sizes': 52, 'learning_rate_init': 0.1, 'momentum': 0.9}",0.9395473803864834,0.9658985222692983,0.9666207371684464,0.957355546608076,0.012595726437223113,22,0.964967878610427,0.9711338075472348,0.9712376425200647,0.9691131095592421,0.002931427427000597
7,116.6596561272939,7.714662395652063,0.09543037414550781,0.02666420126898871,6,0.001,0.6,"{'hidden_layer_sizes': 6, 'learning_rate_init': 0.001, 'momentum': 0.6}",0.9696875753504874,0.97134098033137,0.978022735101619,0.9730170969278255,0.0036033084013543186,8,0.9981571106250323,0.9960903188026387,0.9965554062898281,0.9969342785724997,0.0008852740683769159
8,12.314014116923014,0.34352834904219637,0.16439215342203775,0.07244450737115986,15,0.8,0.4,"{'hidden_layer_sizes': 15, 'learning_rate_init': 0.8, 'momentum': 0.4}",0.9037924976748992,0.9082704694981227,0.91684464347227,0.9096358702150974,0.005415278805835213,75,0.9189645372969808,0.9085616851242658,0.9167613929936964,0.9147625384716477,0.004475965287479052
9,37.41607594490051,3.087698188389781,0.36741820971171063,0.0047798076874227425,84,0.8,0.1,"{'hidden_layer_sizes': 84, 'learning_rate_init': 0.8, 'momentum': 0.1}",0.8846750025834453,0.9101994419758189,0.9086117809162935,0.9011620751585192,0.011676124884618156,83,0.892044573810303,0.9105940304162863,0.9085115910578347,0.9037167317614747,0.008297131707131573
10,16.814117590586346,1.2597651849808302,0.17569231986999512,0.008541536487656598,36,0.3,0.6,"{'hidden_layer_sizes': 36, 'learning_rate_init': 0.3, 'momentum': 0.6}",0.9323826254693259,0.9465399056181324,0.9375473647950396,0.9388232986274992,0.005849680940675814,36,0.9478651762801192,0.9422676150944697,0.93727394853777,0.9424689133041196,0.004326192860509353
11,44.29482134183248,1.1611238768105185,0.42612799008687335,0.01955534390436671,97,0.8,0.7,"{'hidden_layer_sizes': 97, 'learning_rate_init': 0.8, 'momentum': 0.7}",0.9037924976748992,0.8888429609727533,0.7978987254564244,0.863511394701359,0.046794863934596434,100,0.9209968825890013,0.8806944420523243,0.7969067548482657,0.8661993598298637,0.05168604264953894
12,31.816588878631592,1.2027718952904787,0.38307420412699383,0.033223358591841785,84,0.5,0.001,"{'hidden_layer_sizes': 84, 'learning_rate_init': 0.5, 'momentum': 0.001}",0.846233336777927,0.9171575212703662,0.9323802962452635,0.8985903847645189,0.03754001043230903,87,0.8503814953238835,0.9184822858717556,0.9299025179980022,0.8995887663978804,0.035105764677297646
13,16.730846405029297,0.5606065912819814,0.15852602322896323,0.00938167072577991,27,0.8,0.001,"{'hidden_layer_sizes': 27, 'learning_rate_init': 0.8, 'momentum': 0.001}",0.9142985084909235,0.8987633908580482,0.9122631760248019,0.9084416917912579,0.006893851186733353,76,0.9289884776355901,0.8904600334131345,0.911542833522786,0.9103304481905035,0.015752516459202497
