,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_momentum,param_learning_rate_init,param_hidden_layer_sizes,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,8.465716441472372,2.891689831942309,0.06669680277506511,0.0013209302519095743,0.5,0.4,"(100,)",0.3,"{'momentum': 0.5, 'learning_rate_init': 0.4, 'hidden_layer_sizes': (100,), 'alpha': 0.3}",0.47218920830047056,0.20722891566265061,0.2,0.29313937465437373,0.12664174272841647,183,0.47599943431989145,0.2060218291305984,0.2,0.29400708781682994,0.12871150232409256
1,67.27682105700175,6.753678733090802,0.06862926483154297,0.003508821454107681,0.7,0.6,"(100,)",0.001,"{'momentum': 0.7, 'learning_rate_init': 0.6, 'hidden_layer_sizes': (100,), 'alpha': 0.001}",0.7613985286518534,0.7439083648363205,0.7146207856255723,0.7399758930379154,0.01929831705084041,67,0.8497230831493079,0.815626742952238,0.7747024511293198,0.8133507590769552,0.030669299352066786
2,38.366344610850014,3.4182864540980153,0.07251016298929851,0.0016670472597982997,0.9,0.9,"(100, 100)",0.4,"{'momentum': 0.9, 'learning_rate_init': 0.9, 'hidden_layer_sizes': (100, 100), 'alpha': 0.4}",0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17,307,0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17
3,8.99270256360372,2.591258101361915,0.06374740600585938,0.0012333118787298827,0.9,0.9,"(100,)",0.5,"{'momentum': 0.9, 'learning_rate_init': 0.9, 'hidden_layer_sizes': (100,), 'alpha': 0.5}",0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17,307,0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17
4,6.8582126299540205,1.3034148644588752,0.06563083330790202,0.0012787756216508575,0.4,0.5,"(100,)",0.6,"{'momentum': 0.4, 'learning_rate_init': 0.5, 'hidden_layer_sizes': (100,), 'alpha': 0.6}",0.2607967989338845,0.2,0.2,0.2202655996446282,0.028659885867056534,257,0.2653617291900005,0.2,0.2,0.2217872430633335,0.030811814626885373
5,23.033849080403645,0.2926614190806765,0.0746461550394694,0.0016660208133447345,0.7,0.5,"(100, 100)",0.7,"{'momentum': 0.7, 'learning_rate_init': 0.5, 'hidden_layer_sizes': (100, 100), 'alpha': 0.7}",0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17,307,0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17
6,8.200567881266275,3.69915868030905,0.0772403081258138,0.002263043510158487,0.4,0.9,"(100, 100)",0.001,"{'momentum': 0.4, 'learning_rate_init': 0.9, 'hidden_layer_sizes': (100, 100), 'alpha': 0.001}",0.2,0.20030097817908202,0.19984939759036144,0.20005012525648116,0.0001877332558539405,306,0.2,0.2003011764785903,0.2,0.20010039215953013,0.00014197595356338732
7,14.401835918426514,4.7343950237736205,0.07641919453938802,0.0011133964588349548,0.001,0.7,"(100, 100)",0.001,"{'momentum': 0.001, 'learning_rate_init': 0.7, 'hidden_layer_sizes': (100, 100), 'alpha': 0.001}",0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17,307,0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17
8,11.287317276000977,2.6265718664889453,0.06506029764811198,0.0009942768708087687,0.2,0.3,"(100,)",0.8,"{'momentum': 0.2, 'learning_rate_init': 0.3, 'hidden_layer_sizes': (100,), 'alpha': 0.8}",0.2,0.2,0.29322062516431413,0.23107354172143804,0.043944624133423885,241,0.2,0.2,0.30305019475719963,0.23435006491906654,0.048578327676940175
9,27.656432390213013,0.9638932385302382,0.07333628336588542,0.005274549934050066,0.2,0.5,"(100, 100)",0.7,"{'momentum': 0.2, 'learning_rate_init': 0.5, 'hidden_layer_sizes': (100, 100), 'alpha': 0.7}",0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17,307,0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17
10,11.175938049952189,1.3471723788128604,0.06277505556742351,0.000982607637383614,0.5,0.3,"(100,)",0.7,"{'momentum': 0.5, 'learning_rate_init': 0.3, 'hidden_layer_sizes': (100,), 'alpha': 0.7}",0.20993227990970653,0.3540850761964336,0.2,0.25467245203538,0.07041219083838327,209,0.20911144578313254,0.35580502287660243,0.2,0.25497215621991165,0.07139656789005676
11,12.381596088409424,5.729266756568584,0.07652544975280762,0.002758770819506277,0.8,0.3,"(100, 100)",0.001,"{'momentum': 0.8, 'learning_rate_init': 0.3, 'hidden_layer_sizes': (100, 100), 'alpha': 0.001}",0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17,307,0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17
12,13.212517897288004,1.1048531154912082,0.06598138809204102,0.0027124888415437916,0.1,0.2,"(100,)",0.9,"{'momentum': 0.1, 'learning_rate_init': 0.2, 'hidden_layer_sizes': (100,), 'alpha': 0.9}",0.6031062171938318,0.3563253012048192,0.514938308538896,0.49145660897918236,0.1021069628208691,138,0.6199045712394176,0.3608581106511103,0.513947642281584,0.49823677472403727,0.10633717037609015
13,40.267472902933754,2.7137644366898446,0.07246534029642741,0.002399003651030347,0.001,0.7,"(100, 100)",0.1,"{'momentum': 0.001, 'learning_rate_init': 0.7, 'hidden_layer_sizes': (100, 100), 'alpha': 0.1}",0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17,307,0.2,0.2,0.2,0.20000000000000004,2.7755575615628914e-17
