,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,54.75564002990723,0.6723542002538806,0.3631417751312256,0.01912509234372836,0.2,3,7,109,"{'learning_rate': 0.2, 'max_depth': 3, 'max_features': 7, 'n_estimators': 109}",0.9241711874623267,0.9235638073422148,0.9193441437096871,0.9223597128380762,0.0021466983220202597,4,0.9563867623123756,0.956357937249465,0.9561469604267759,0.9562972199962055,0.0001068992507514322
1,137.81963920593262,1.5243906377313678,0.6218791802724203,0.008384653175331788,0.7,8,9,88,"{'learning_rate': 0.7, 'max_depth': 8, 'max_features': 9, 'n_estimators': 88}",0.8843881856540085,0.020435228163240702,0.7418168665983483,0.5488800934718658,0.3781729119574853,15,0.9535234191331605,0.0203140540703457,0.7431809276952289,0.572339466966245,0.39967489562413533
2,42.56849161783854,0.4966494806461647,0.4269750912984212,0.004586696076705125,0.6,4,4,108,"{'learning_rate': 0.6, 'max_depth': 4, 'max_features': 4, 'n_estimators': 108}",0.9143459915611815,0.018566519983121345,0.918138525528965,0.617017012357756,0.42317123381759314,13,0.988878172282838,0.02136893818379095,0.984719250128093,0.6649887868649074,0.4551111266277718
3,113.32739742596944,0.625547231940572,0.8813637097676595,0.04926376901416885,0.2,6,6,148,"{'learning_rate': 0.2, 'max_depth': 6, 'max_features': 6, 'n_estimators': 148}",0.9232067510548523,0.9241063355235397,0.9255530773404063,0.924288721306266,0.0009665264920928333,1,0.9999698595454819,0.9999698604539016,0.9999397209078031,0.999959813635729,1.4207704173659036e-05
4,169.02841917673746,4.910441010130544,0.6858681837717692,0.01495303033840444,0.5,7,10,112,"{'learning_rate': 0.5, 'max_depth': 7, 'max_features': 10, 'n_estimators': 112}",0.4027124773960217,0.8146964856230032,0.9101211646271625,0.7091767092153957,0.2201767644102363,9,0.3998734100910242,0.8184092347569245,0.9991560927092438,0.7391462458523975,0.25099389033610864
5,117.38527313868205,2.7432699328812182,0.5396664142608643,0.01389276098338753,0.5,5,9,117,"{'learning_rate': 0.5, 'max_depth': 5, 'max_features': 9, 'n_estimators': 117}",0.009584086799276673,0.9234432455241425,0.9195249864367955,0.6175174395867382,0.4298767724686708,12,0.009011995900898186,0.9999397209078031,0.9981916272340938,0.6690477813475985,0.46671632534160395
6,33.77100793520609,2.7083385756173097,0.6263198057810465,0.01087846882728999,0.4,8,2,81,"{'learning_rate': 0.4, 'max_depth': 8, 'max_features': 2, 'n_estimators': 81}",0.8971066907775769,0.047441075411417205,0.09108445355355958,0.34521073991418455,0.3906558942329941,18,0.9998794381819278,0.04792187829651286,0.09153380150094939,0.37977837265979675,0.43883899747527694
7,160.3318121433258,0.40059023558710205,0.662337064743042,0.021494744140722298,0.8,7,10,105,"{'learning_rate': 0.8, 'max_depth': 7, 'max_features': 10, 'n_estimators': 105}",0.6525015069318867,0.6610404484899632,0.11224305262523358,0.47526166934902786,0.2567165952910925,16,0.6580264030381578,0.6782904849452968,0.1120286928478857,0.48278186027711345,0.26229257407583173
8,26.620119253794353,0.04395615327116859,0.34659210840861004,0.0019585016173909887,0.1,3,3,112,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 3, 'n_estimators': 112}",0.9019891500904159,0.901983241907288,0.9022846464524685,0.9020856794833909,0.00014071156726901078,7,0.917053469166315,0.9157901082009705,0.9159709454775611,0.9162715076149489,0.0005578371512740948
9,80.7576773961385,5.340989073353669,0.6873583793640137,0.0041272527269321175,0.4,6,5,125,"{'learning_rate': 0.4, 'max_depth': 6, 'max_features': 5, 'n_estimators': 125}",0.9215792646172393,0.18705166073904395,0.9190427391645066,0.6758912215069298,0.34566331944938167,10,0.9999698595454819,0.18749811627836885,0.9998794418156063,0.7291158058798191,0.382981542906662
10,171.2705811659495,6.925040978081113,0.7663547992706299,0.015188095110177643,0.3,6,10,144,"{'learning_rate': 0.3, 'max_depth': 6, 'max_features': 10, 'n_estimators': 144}",0.9244122965641953,0.9255530773404063,0.9228404364337814,0.9242686034461277,0.0011120824178715602,2,0.9999397190909639,0.9999698604539016,0.9998191627234094,0.9999095807560917,6.51085806711919e-05
11,41.259993394215904,0.4473246640425917,0.30569060643513996,0.00266482849756254,0.8,2,6,133,"{'learning_rate': 0.8, 'max_depth': 2, 'max_features': 6, 'n_estimators': 133}",0.919409282700422,0.9227198746157093,0.08692507083006812,0.6430180760487331,0.3932194576777299,11,0.9562360600397855,0.969709756171072,0.08722384640887308,0.6710565542065768,0.412868710482044
12,87.91874345143636,0.22132135793254373,0.3902111053466797,0.010103465369024234,0.5,3,10,122,"{'learning_rate': 0.5, 'max_depth': 3, 'max_features': 10, 'n_estimators': 122}",0.9235081374321881,0.9239857737054675,0.9235035264331786,0.9236658125236114,0.00022625455243898714,3,0.979383929109651,0.983121854184876,0.9864974833479008,0.9830010888808092,0.00290535157587168
13,35.47835826873779,0.5778607169719034,0.34011610349019367,0.002135420209319209,0.9,3,4,110,"{'learning_rate': 0.9, 'max_depth': 3, 'max_features': 4, 'n_estimators': 110}",0.902411091018686,0.8352522756043161,0.08794984628368195,0.6085377376355613,0.3691308630541139,14,0.9497558623184038,0.8349257060188674,0.08776635823864493,0.6241493088586387,0.3821661885321638
