,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.13779060045878092,0.0016206779644611206,0.0,0.0,2.297063319116951,l1,"{'C': 2.297063319116951, 'penalty': 'l1'}",,,,,,70,,,,,
1,0.134263277053833,0.002860051016491168,0.0,0.0,1.3042555333839978,l1,"{'C': 1.3042555333839978, 'penalty': 'l1'}",,,,,,73,,,,,
2,150.12033367156982,18.990413060131413,0.03085772196451823,0.00015100065028922382,9.814143734655955,none,"{'C': 9.814143734655955, 'penalty': 'none'}",0.9386980108499096,0.9384531918741335,0.9393574055096751,0.9388362027445726,0.0003818580229071024,29,0.9557839532220146,0.9565086349799572,0.9578347750082884,0.9567091210700868,0.0008491617451013636
3,0.06469933191935222,0.01810094869422349,0.0,0.0,7.973534014272758,elasticnet,"{'C': 7.973534014272758, 'penalty': 'elasticnet'}",,,,,,74,,,,,
4,149.91168920199075,18.898371927198664,0.030904849370320637,9.084015550560106e-05,0.21570586417474447,none,"{'C': 0.21570586417474447, 'penalty': 'none'}",0.9386980108499096,0.9384531918741335,0.9393574055096751,0.9388362027445726,0.0003818580229071024,29,0.9557839532220146,0.9565086349799572,0.9578347750082884,0.9567091210700868,0.0008491617451013636
5,150.246781984965,19.009378326586017,0.03152092297871908,0.0009047098755791718,6.029061252062812,none,"{'C': 6.029061252062812, 'penalty': 'none'}",0.9386980108499096,0.9384531918741335,0.9393574055096751,0.9388362027445726,0.0003818580229071024,29,0.9557839532220146,0.9565086349799572,0.9578347750082884,0.9567091210700868,0.0008491617451013636
6,0.062068939208984375,0.00691686097631659,0.0,0.0,5.099208177192825,l1,"{'C': 5.099208177192825, 'penalty': 'l1'}",,,,,,75,,,,,
7,146.32958507537842,24.746461496609957,0.03089133898417155,0.00017582346011719535,3.851157350877278,l2,"{'C': 3.851157350877278, 'penalty': 'l2'}",0.9389993972272453,0.9386943155102779,0.9395382482367834,0.939077320324769,0.00034891223209904576,12,0.9557236723129785,0.9564483558877603,0.9576539377316977,0.9566086553108123,0.0007961377918630587
8,0.05008618036905924,4.4689900489249924e-05,0.0,0.0,1.7639066012252502,l1,"{'C': 1.7639066012252502, 'penalty': 'l1'}",,,,,,76,,,,,
9,149.93096057573953,18.825965748640975,0.030807336171468098,0.00016015818208391056,0.9942307562412467,none,"{'C': 0.9942307562412467, 'penalty': 'none'}",0.9386980108499096,0.9384531918741335,0.9393574055096751,0.9388362027445726,0.0003818580229071024,29,0.9557839532220146,0.9565086349799572,0.9578347750082884,0.9567091210700868,0.0008491617451013636
10,150.1425704161326,18.62770968258785,0.030798991521199543,0.00011135659284262609,0.3941153685419341,none,"{'C': 0.3941153685419341, 'penalty': 'none'}",0.9386980108499096,0.9384531918741335,0.9393574055096751,0.9388362027445726,0.0003818580229071024,29,0.9557839532220146,0.9565086349799572,0.9578347750082884,0.9567091210700868,0.0008491617451013636
11,0.05028883616129557,3.758923445200335e-05,0.0,0.0,2.110615615355255,elasticnet,"{'C': 2.110615615355255, 'penalty': 'elasticnet'}",,,,,,77,,,,,
12,148.4112490018209,21.79323372140854,0.030913829803466797,8.182748859683323e-05,9.654047889598061,l2,"{'C': 9.654047889598061, 'penalty': 'l2'}",0.9386980108499096,0.9385134727831695,0.9394176864187112,0.9388763900172634,0.00039009821001403765,21,0.9557839532220146,0.9565086349799572,0.9577443563699931,0.9566789815239883,0.000809344831514366
13,0.05025339126586914,0.00010381479767359371,0.0,0.0,9.125792329505638,elasticnet,"{'C': 9.125792329505638, 'penalty': 'elasticnet'}",,,,,,78,,,,,
14,140.87940820058188,30.275845268796356,0.030825217564900715,7.942484358801383e-05,1.690655708495885,l2,"{'C': 1.690655708495885, 'penalty': 'l2'}",0.9390596745027124,0.9388148773283501,0.9402013382361806,0.9393586300224143,0.0006042070640134913,6,0.9558140936765327,0.9562976581572682,0.9574731004551071,0.9565282840963026,0.000696642957645518
15,0.05015826225280762,0.00012997246209829467,0.0,0.0,9.81198140991822,l1,"{'C': 9.81198140991822, 'penalty': 'l1'}",,,,,,79,,,,,
16,0.05018258094787598,0.0001782734437721047,0.0,0.0,0.47670238738636295,l1,"{'C': 0.47670238738636295, 'penalty': 'l1'}",,,,,,80,,,,,
17,148.80099368095398,22.19454910310925,0.030870914459228516,8.692332903536987e-05,6.553961323736891,l2,"{'C': 6.553961323736891, 'penalty': 'l2'}",0.9387582881253768,0.9385737536922056,0.9394176864187112,0.9389165760787644,0.00036225858062763296,19,0.9557236723129785,0.9565086349799572,0.9576840772777961,0.9566387948569105,0.0008056066458252899
18,149.29017734527588,22.71102882923665,0.030864397684733074,0.00017720348507530172,6.11534132976777,l2,"{'C': 6.11534132976777, 'penalty': 'l2'}",0.938878842676311,0.9385737536922056,0.9394176864187112,0.938956760929076,0.00034891169112179665,16,0.9556935318584604,0.9565086349799572,0.9576840772777961,0.9566287480387379,0.0008170630847847152
19,150.17787114779154,18.646058753025606,0.030885855356852215,0.00014300800485309435,1.530827291994572,none,"{'C': 1.530827291994572, 'penalty': 'none'}",0.9386980108499096,0.9384531918741335,0.9393574055096751,0.9388362027445726,0.0003818580229071024,29,0.9557839532220146,0.9565086349799572,0.9578347750082884,0.9567091210700868,0.0008491617451013636
20,150.34506392478943,19.054496272865887,0.030833085378011067,7.667998492180141e-05,5.199440265795046,none,"{'C': 5.199440265795046, 'penalty': 'none'}",0.9386980108499096,0.9384531918741335,0.9393574055096751,0.9388362027445726,0.0003818580229071024,29,0.9557839532220146,0.9565086349799572,0.9578347750082884,0.9567091210700868,0.0008491617451013636
21,150.48400147755942,18.988791110440083,0.030860026677449543,4.118979493519126e-05,1.6496968622614216,none,"{'C': 1.6496968622614216, 'penalty': 'none'}",0.9386980108499096,0.9384531918741335,0.9393574055096751,0.9388362027445726,0.0003818580229071024,29,0.9557839532220146,0.9565086349799572,0.9578347750082884,0.9567091210700868,0.0008491617451013636
