,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,139.00614476203918,1.8502365297108405,0.4045421282450358,0.052970593192923215,0.4,7,401,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 401}",0.9655213984327908,0.9679908373018266,0.9658207245765266,0.9664443201037147,0.0011003592195650916,16,1.0,1.0,1.0,1.0,0.0
1,144.14886649449667,3.986016274863653,0.38366254170735675,0.040445258466085356,0.4,7,680,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 680}",0.9655213984327908,0.9679908373018266,0.9658207245765266,0.9664443201037147,0.0011003592195650916,16,1.0,1.0,1.0,1.0,0.0
2,138.86791960398355,1.3152833124678345,0.36344432830810547,0.04354638645145108,0.3,8,208,"{'learning_rate': 0.3, 'max_depth': 8, 'n_estimators': 208}",0.9642555756479807,0.9682319609379709,0.9653987582132738,0.9659620982664086,0.0016715110938333594,21,1.0,1.0,1.0,1.0,0.0
3,46.14620518684387,0.21698024030375043,0.12534268697102866,0.0037277404857049374,0.2,2,261,"{'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 261}",0.9628089210367692,0.9670866236662848,0.9653384773042377,0.9650780073357638,0.0017560501891079022,23,0.9754355295677859,0.9738690135326562,0.9748334790078061,0.9747126740360827,0.000645207203397706
4,149.33041286468506,0.6908356983070062,0.3683185577392578,0.026625114818680826,0.5,2,844,"{'learning_rate': 0.5, 'max_depth': 2, 'n_estimators': 844}",0.9664255575647981,0.9700403882090541,0.9681716800289348,0.9682125419342623,0.0014760312594123022,10,0.9999397190909639,0.9999698604539016,0.9999397209078031,0.9999497668175562,1.4208346537863557e-05
5,146.64642588297525,96.8603155148959,0.31061816215515137,0.1567216942782715,0.9,10,558,"{'learning_rate': 0.9, 'max_depth': 10, 'n_estimators': 558}",0.9417721518987342,0.9450238109590693,0.9412261136897945,0.942674025515866,0.0016764363300809893,50,1.0,0.9999698604539016,0.9998191627234094,0.999929674392437,7.91063410993902e-05
6,139.9435080687205,1.589452899699621,0.352411429087321,0.004771988817289569,0.4,7,807,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 807}",0.9655213984327908,0.9679908373018266,0.9658207245765266,0.9664443201037147,0.0011003592195650916,16,1.0,1.0,1.0,1.0,0.0
7,148.03601463635763,12.841347150359029,0.35064268112182617,0.025006705255699816,0.6,6,334,"{'learning_rate': 0.6, 'max_depth': 6, 'n_estimators': 334}",0.963592525617842,0.9684730845741154,0.9644945445777322,0.9655200515898965,0.0021203321132020393,22,0.9999698595454819,1.0,0.9999698604539016,0.9999799066664612,1.4208132406799431e-05
8,106.02042166392009,0.2261876359324001,0.2619634469350179,0.0013274941139837554,0.6,2,610,"{'learning_rate': 0.6, 'max_depth': 2, 'n_estimators': 610}",0.9646775165762508,0.9680511182108626,0.9667249382120683,0.9664845243330605,0.0013877190210746595,15,0.9995177527277112,0.9990958136170469,0.9991560927092438,0.9992565530180005,0.00018632830971821723
9,183.19787486394247,0.5215588328144652,0.4412500858306885,0.002792595185220448,0.2,8,286,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 286}",0.9647377938517179,0.9682319609379709,0.9658207245765266,0.9662634931220718,0.001460441461877586,20,1.0,1.0,1.0,1.0,0.0
10,228.5678105354309,3.1992549865234166,0.5919715563456217,0.04810342581431246,0.4,5,936,"{'learning_rate': 0.4, 'max_depth': 5, 'n_estimators': 936}",0.9681133212778782,0.9731147145698957,0.9678702754837543,0.9696994371105093,0.0024170033661477914,5,1.0,1.0,1.0,1.0,0.0
11,115.62440172831218,1.9748529017986307,0.2938477198282878,0.004086474792371881,0.3,9,710,"{'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 710}",0.9599758890898131,0.966061848212671,0.9623244318524323,0.9627873897183056,0.002506055612638417,34,1.0,1.0,1.0,1.0,0.0
12,149.81427224477133,0.5207821986878187,0.39129137992858887,0.04548124482880294,0.4,6,303,"{'learning_rate': 0.4, 'max_depth': 6, 'n_estimators': 303}",0.9675708257986739,0.9693170173006209,0.9681113991198987,0.9683330807397312,0.0007299101523688282,9,1.0,1.0,1.0,1.0,0.0
13,199.75138608614603,0.8741277070272132,0.4619329770406087,0.005687465952337972,0.3,5,478,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 478}",0.9673899939722724,0.972150220025318,0.9700403882090541,0.9698602007355482,0.001947526407733644,4,1.0,1.0,1.0,1.0,0.0
14,54.560462872187294,0.18327553595436846,0.13901877403259277,0.0024377061653877365,0.8,4,161,"{'learning_rate': 0.8, 'max_depth': 4, 'n_estimators': 161}",0.9574442435201929,0.9589487009464103,0.956597745494002,0.9576635633202017,0.000972222116531327,48,0.9999397190909639,0.996955905844058,0.9987944181560626,0.998563347697028,0.0012290458469565058
15,100.27836696306865,1.7998510165929225,0.2633016109466553,0.009072479075477766,0.3,10,998,"{'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 998}",0.95708257986739,0.9612393754897823,0.9594912291277352,0.9592710614949692,0.0017041308246871587,43,1.0,1.0,1.0,1.0,0.0
16,158.59545548756918,0.49198075898186705,0.348621924718221,0.008424889554391012,0.5,4,436,"{'learning_rate': 0.5, 'max_depth': 4, 'n_estimators': 436}",0.9644966847498493,0.9694375791186931,0.9679305563927904,0.9672882734204443,0.0020676080952705465,14,1.0,1.0,1.0,1.0,0.0
